Smiles,Standard Relation,Standard Value,Standard Units
O=C1NCCCC[C@H]1N(Cc1ccc(Cl)nc1)S(=O)(=O)c1ccc(Cl)cc1,'=',27.0,nM
O=C(OCC1CCc2c(F)ccc(F)c2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,'=',217.0,nM
CN1C(=O)[C@@H](NC(=O)C2(C(=O)NCc3cc(F)cc(F)c3)CCC2)N=C(c2ccccc2)c2ccccc21,'=',115.0,nM
CC(C)[C@@H]1CCC[C@H](COC(=O)N2CCC(N3CCCCC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,'=',18.5,nM
COc1cc(-c2cn([C@H]3CCCCN(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,'=',300.0,nM
COc1cc(-c2cn(CC(=O)N(CC(F)(F)F)c3ccc4c(c3)OC(F)(F)O4)nn2)ccc1-n1cnc(C)c1,'=',1180.0,nM
COc1cc(-c2cn(CC(=O)N(CC(F)(F)F)c3ccc4ccccc4c3)nn2)ccc1-n1cnc(C)c1,'=',660.0,nM
COc1cc(-c2cn(CC(=O)N(CC(F)(F)F)c3cccc4ccccc34)nn2)ccc1-n1cnc(C)c1,'=',410.0,nM
COc1cc(-c2cn([C@H]3C[C@@H](c4ccccc4)CCN(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,'=',150.0,nM
CCCCN(CC)Cc1cnc(NC(=O)[C@H](CCC)NC(=O)Cc2cc(F)cc(F)c2)s1,'=',12.7,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1ncc(C(C)N2CCCC2)s1,'=',10.6,nM
O=C(OC[C@H]1CCC[C@@H](c2cc(F)ccc2F)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,'=',28.0,nM
CCC(c1ccc(F)cc1)N1CCCn2c(-c3ccc(-n4cnc(C)c4)c(OC)c3)nnc21,'=',156.0,nM
COc1cc(-c2nnc3n2CCCN3C(C)c2cc(F)c(F)c(F)c2)ccc1-n1cnc(C)c1,'=',116.0,nM
Cc1ccc(S(=O)(=O)NC2C3CCC2Cc2ccccc2C3)cc1,'=',651.0,nM
CC(C)CCCCN([C@@H]1CCCCNC1=O)S(=O)(=O)c1ccc(Cl)cc1,'=',85.0,nM
CC(C)CCN([C@@H]1CCCCNC1=O)S(=O)(=O)c1ccc(Cl)cc1,'=',620.0,nM
