Standard Value,smiles_encoded,exactmw,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,CrippenClogP,hallKierAlpha
257.0,1894,344.041997464,0.6428571428571429,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.5423800000000023,-0.6100000000000001
4.8,1526,468.07896692399993,0.3,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.1414000000000035,-2.1299999999999986
0.23,1521,494.05036922799985,0.3684210526315789,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.398900000000002,-1.3599999999999994
850.0,18,385.030619764,0.17647058823529413,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0885200000000035,-1.5299999999999998
37000.0,360,493.19229409199994,0.32142857142857145,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.397900000000007,-3.3199999999999994
19000.0,369,353.19909372399997,0.4090909090909091,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.618400000000006,-2.49
24000.0,369,353.19909372399997,0.4090909090909091,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.618400000000006,-2.49
15.4,773,625.217733564,0.42424242424242425,6.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,7.033600000000008,-3.139999999999999
8.5,2014,684.19847534,0.4117647058823529,7.0,3.0,4.0,3.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,6.000400000000006,-3.7399999999999993
6309.57,1678,386.19067495600007,0.16666666666666666,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.863340000000004,-3.4699999999999993
15848.93,1678,386.19067495600007,0.16666666666666666,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.863340000000004,-3.4699999999999993
3400.0,618,480.07184038,0.38095238095238093,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.7074000000000025,-1.8999999999999995
4500.0,245,424.10236946399993,0.35,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.899700000000002,-1.9599999999999995
6000.0,827,541.3151860959999,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.282800000000003,-3.5899999999999994
15000.0,827,541.3151860959999,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.282800000000003,-3.5899999999999994
3000.0,863,739.4520139120001,0.575,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.564400000000005,-4.6499999999999995
7000.0,863,739.4520139120001,0.575,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.564400000000005,-4.6499999999999995
0.21,77,391.18959166,0.34782608695652173,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.6496000000000013,-3.1499999999999986
0.09,77,391.18959166,0.34782608695652173,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.6496000000000013,-3.1499999999999986
117.0,1158,455.19573966000013,0.2692307692307692,5.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.729200000000003,-4.09
8813.0,1987,381.055004672,0.375,4.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,2.2144000000000004,-1.899999999999999
8.0,588,409.08630479999994,0.4444444444444444,4.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,2.6929000000000007,-1.899999999999999
1628.0,819,484.12866446399994,0.4583333333333333,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.211000000000006,-1.9899999999999993
8.0,2254,428.102449716,0.42857142857142855,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.250100000000004,-1.4999999999999998
